'image','annotated image','predictions','flag','username','timestamp'
'image/0.png','annotated image/0.png','predictions/0.png','','','2022-07-26 17:28:39.414828'
'image/1.png','annotated image/1.png','predictions/1.png','','','2022-07-26 17:31:19.521690'
